time,latitude,longitude,depth,mag,country,
04/11/1978 17:45:00,37.2335,-116.3685,0.67,150,England,67
2/24/1966 3:55:07 PM,37.2718,-116.4338,0.67,19,USA,67
05/06/1966 15:00:00,37.348,-116.3219,0.67,73,USA,67
5/19/1966 1:56:28 PM,37.1111,-116.0579,0.67,200,USA,67
9/27/1967 5:00:00 PM,37.0988,-116.0532,0.67,200,USA,67
11/08/1967 15:00:00,37.0918,-116.0358,0.67,20,USA,67
3/22/1968 3:00:00 PM,37.3326,-116.3107,0.67,200,USA,67
12/14/1977 3:30:00 PM,37.1359,-116.086,0.67,150,USA,67
12/17/1970 4:05:00 PM,37.1291,-116.083,0.66,220,USA,66
8/30/1974 3:00:00 PM,37.1525,-116.0833,0.66,200,USA,66
02/04/1976 14:40:00,37.1066,-116.0374,0.66,200,USA,66
2/23/1978 5:00:00 PM,37.1237,-116.0638,0.66,150,USA,66
06/12/1980 17:15:00,37.2817,-116.4539,0.65,150,USA,65
2/21/1968 3:30:00 PM,37.1166,-116.0537,0.64,200,USA,64
2/27/1974 5:00:00 PM,37.1043,-116.0528,0.64,200,USA,64
07/10/1974 16:00:00,37.0675,-116.0318,0.64,200,USA,64
06/03/1975 14:40:00,37.0948,-116.0361,0.64,200,USA,64
02/04/1976 14:20:00,37.0693,-116.0302,0.64,200,USA,64
7/27/1976 8:30:00 PM,37.0754,-116.0438,0.64,150,USA,64
12/28/1976 6:00:00 PM,37.1005,-116.0365,0.64,150,USA,64
3/23/1978 4:30:00 PM,37.1018,-116.0511,0.64,150,USA,64
05/10/1978 00:00:00,37.0878,-116.0526,0.64,0,USA,64
9/27/1978 5:20:00 PM,37.0739,-116.0198,0.64,150,USA,64
09/06/1979 15:00:00,37.0881,-116.0528,0.64,140,USA,64
9/26/1979 3:00:00 PM,37.2291,-116.3641,0.64,150,USA,64
06/06/1981 18:00:00,37.3034,-116.3256,0.64,150,USA,64
1/28/1982 4:00:00 PM,37.0913,-116.0512,0.64,139,USA,64
02/12/1982 14:55:00,37.2243,-116.4627,0.64,150,USA,64
02/12/1982 15:25:00,37.348,-116.3161,0.64,150,USA,64
4/26/1980 5:00:00 PM,37.2484,-116.4224,0.63,150,England,63
5/26/1967 3:00:01 PM,37.2479,-116.4802,0.63,76,USA,63
04/11/1978 15:30:00,37.2996,-116.3267,0.63,150,USA,63
12/18/1978 7:59:59 AM,47.86,48.16,0.63,103,Russia,63
6/28/1968 12:22:00 PM,37.2455,-116.4829,0.62,200,USA,62
10/08/1969 14:30:00,37.2567,-116.4408,0.62,1000,USA,62
10/29/1969 10:01:51 PM,37.1433,-116.0638,0.62,110,USA,62
9/19/1973 3:00:00 AM,45.758,67.825,0.62,6.3,Russia,62
5/14/1955 8:00:00 PM,28.7333,-126.2667,0.61,30,USA,61
9/19/1971 11:00:01 AM,57.508,42.643,0.61,2.3,Russia,61
05/07/1969 13:45:00,37.2829,-116.5006,0.6,200,USA,60
03/07/1975 15:00:00,37.134,-116.0842,0.6,200,USA,60
07/01/1968 04:02:01,47.909,47.912,0.6,27,Russia,60
10/04/1971 10:00:00,61.358,48.092,0.6,2.3,Russia,60
8/15/1973 2:00:00 AM,42.775,67.408,0.6,6.3,Russia,60
4/25/1975 5:00:00 AM,47.909,47.912,0.6,0.35,Russia,60
8/20/1977 10:00:01 PM,64.108,99.558,0.6,8.5,Russia,60
10/14/1977 6:59:59 AM,47.909,47.912,0.6,0.1,Russia,60
10/30/1977 6:59:59 AM,47.909,47.912,0.6,0.01,Russia,60
09/12/1978 04:59:59,47.909,47.912,0.6,0.08,Russia,60
11/30/1978 7:59:59 AM,47.909,47.912,0.6,0.06,Russia,60
01/10/1979 08:00:00,47.909,47.912,0.6,0.5,Russia,60
09/06/1979 18:00:00,64.11,99.562,0.6,8.5,Russia,60
4/27/1977 3:00:00 PM,37.0948,-116.0279,0.59,150,USA,59
10/17/1978 2:00:00 PM,63.185,63.432,0.59,22,Russia,59
09/06/1968 14:00:00,37.1361,-116.0472,0.58,200,USA,58
11/02/1978 15:25:00,37.2879,-116.2975,0.58,20,USA,58
02/08/1979 20:00:00,37.1025,-116.0548,0.58,150,USA,58
4/16/1980 8:00:00 PM,37.1011,-116.0305,0.58,150,USA,58
8/29/1974 3:00:00 PM,67.085,62.625,0.58,7.6,Russia,58
8/24/1978 6:00:00 PM,65.925,112.338,0.58,22,Russia,58
10/22/1981 2:00:00 PM,63.8,97.55,0.58,8.5,Russia,58
12/17/1980 3:10:00 PM,37.3248,-116.3117,0.57,150,England,57
4/25/1982 6:05:00 PM,37.2558,-116.4224,0.57,150,England,57
03/08/1973 16:10:00,37.1036,-116.0267,0.57,200,USA,57
9/26/1974 3:05:00 PM,37.1326,-116.0684,0.57,200,USA,57
4/30/1975 3:00:00 PM,37.1089,-116.0288,0.57,200,USA,57
08/09/1978 18:00:01,63.678,125.522,0.57,22,Russia,57
1/18/1966 6:35:00 PM,37.0917,-116.0187,0.56,200,USA,56
04/01/1966 18:40:00,37.1027,-116.0199,0.56,20,USA,56
06/03/1966 14:00:00,37.0684,-116.0353,0.56,200,USA,56
9/23/1966 6:00:00 PM,37.0209,-116.0364,0.56,20,USA,56
1/20/1967 5:40:03 PM,37.0999,-116.0038,0.56,200,USA,56
4/30/1969 5:00:00 PM,37.0815,-116.0139,0.56,200,USA,56
4/30/1969 5:00:00 PM,37.0903,-116.0056,0.56,200,USA,56
3/23/1970 11:05:00 PM,37.0862,-116.0211,0.56,200,USA,56
10/14/1970 2:30:00 PM,37.0707,-116.0051,0.56,200,USA,56
9/21/1972 3:30:00 PM,37.0821,-116.0383,0.56,200,USA,56
4/26/1973 5:15:00 PM,37.1231,-116.0585,0.56,90,USA,56
5/25/1977 5:00:00 PM,37.0943,-116.0449,0.56,150,USA,56
07/12/1978 17:00:00,37.0787,-116.0438,0.56,150,USA,56
1/15/1981 8:25:00 PM,37.0871,-116.0448,0.56,150,USA,56
05/07/1982 18:17:00,37.0691,-116.0455,0.56,150,USA,56
9/17/1984 9:00:00 PM,55.834,87.526,0.56,10,Russia,56
10/16/1963 5:00:00 PM,37.1982,-116.2295,0.55,200,USA,55
5/13/1966 1:30:00 PM,37.0869,-116.0334,0.55,200,USA,55
7/16/1969 2:55:00 PM,37.1395,-116.0874,0.55,200,USA,55
12/17/1969 3:00:00 PM,37.0838,-116.0016,0.55,200,USA,55
02/04/1970 17:00:00,37.0981,-116.0265,0.55,200,USA,55
09/10/1977 16:00:00,57.251,106.551,0.55,7.6,Russia,55
7/30/1982 9:00:00 PM,53.8,104.15,0.55,8.5,Russia,55
9/25/1982 6:00:00 PM,64.35,91.8,0.55,8.5,Russia,55
8/26/1976 2:30:00 PM,37.125,-116.082,0.54,150,England,54
11/18/1978 7:00:00 PM,37.1269,-116.0839,0.54,150,England,54
3/26/1965 3:34:08 PM,37.1476,-116.0429,0.54,200,USA,54
4/14/1966 2:13:43 PM,37.2427,-116.4309,0.54,70,USA,54
5/19/1972 5:00:00 PM,37.0647,-116.0018,0.54,20,USA,54
