latitude,longitude,mag
2.00,-157.00,43.00
37.05,-116.03,20.00
37.05,-116.04,20.00
2.00,-157.00,782.00
2.00,-157.00,210.00
2.00,-157.00,"3,000.00"
2.00,-157.00,"1,200.00"
37.22,-116.16,2.90
2.00,-157.00,800.00
2.00,-157.00,52.00
2.00,-157.00,2.20
37.04,-116.03,20.00
2.00,-157.00,81.50
2.00,-157.00,"7,650.00"
37.04,-116.04,67.00
37.01,-116.20,20.00
2.00,-157.00,"1,270.00"
37.12,-116.05,20.00
37.18,-116.05,104.00
37.00,-116.00,20.00
17.00,-169.00,"1,400.00"
2.00,-157.00,"1,000.00"
2.00,-157.00,"3,880.00"
37.12,-116.33,0.50
37.06,-116.03,200.00
37.00,-116.00,20.00
37.00,-116.00,20.00
37.13,-116.06,20.00
37.12,-116.04,20.00
37.05,-116.02,20.00
37.13,-116.04,20.00
37.04,-116.02,20.00
37.06,-116.03,20.00
37.12,-116.03,20.00
17.00,-169.00,75.00
37.14,-116.05,115.00
17.00,-169.00,11.30
37.12,-116.05,20.00
37.05,-116.03,20.00
17.00,-169.00,"1,590.00"
37.13,-116.04,20.00
37.04,-116.02,12.50
17.00,-169.00,20.00
17.00,-169.00,"1,000.00"
17.00,-169.00,800.00
37.15,-116.05,20.00
17.00,-169.00,"8,300.00"
17.00,-169.00,"1,000.00"
17.00,-169.00,20.00
37.16,-116.07,20.00
37.04,-116.02,20.00
37.12,-116.03,20.00
37.13,-116.05,20.00
37.17,-116.21,20.00
37.05,-116.02,20.00
37.12,-116.04,20.00
37.15,-116.05,20.00
37.13,-116.04,20.00
37.05,-116.02,20.00
37.06,-116.03,20.00
37.05,-116.03,20.00
37.12,-116.05,20.00
37.15,-116.08,20.00
37.04,-116.03,20.00
37.13,-116.04,20.00
37.04,-116.02,20.00
37.04,-116.02,20.00
37.05,-116.03,20.00
37.16,-116.07,20.00
37.12,-116.04,20.00
37.12,-116.04,20.00
37.05,-116.02,20.00
37.00,-115.00,0.00
37.04,-116.02,20.00
