time,latitude,longitude,depth,mag,country
10/24/1989 4:30:00 PM,-21.852,-138.912,10,150,France
10/31/1989 4:57:00 PM,-21.793,-138.855,10,20,France
11/20/1989 5:29:00 PM,-21.793,-138.884,10,20,France
11/27/1989 5:00:00 PM,-22.251,-138.722,10,150,France
06/02/1990 17:29:58,-21.877,-138.918,10,20,France
06/07/1990 17:30:00,-22,-139,10,20,France
6/26/1990 5:59:58 PM,-22.215,-138.841,10,150,France
07/04/1990 17:59:59,-21.85,-139.042,10,20,France
11/14/1990 6:11:58 PM,-22.258,-138.805,10,150,France
11/21/1990 4:59:58 PM,-21.936,-138.967,10,150,France
05/07/1991 17:00:00,-22,-139,10,5,France
5/18/1991 5:14:59 PM,-21.832,-139.014,10,150,France
5/29/1991 6:59:58 PM,-22.256,-138.794,10,150,France
6/14/1991 5:59:58 PM,-21.944,-138.988,10,150,France
07/05/1991 18:00:00,-22,-139,10,5,France
7/15/1991 6:09:58 PM,-21.877,-138.963,10,150,France
09/05/1995 21:29:58,-21.85,-138.84,10,0,France
10/01/1995 23:29:58,-22.25,-138.74,10,0,France
10/27/1995 9:59:58 PM,-21.89,-138.98,10,0,France
11/21/1995 9:29:58 PM,-21.88,-139.03,10,0,France
12/27/1995 9:29:58 PM,-21.88,-138.97,10,0,France
1/27/1996 9:29:58 PM,-22.24,-138.82,10,0,France
05/11/1998 10:13:44,27.078,71.719,10,0,India
5/13/1998 12:00:00 AM,27.078,71.719,10,0.6,India
5/28/1998 10:16:18 AM,28.83,64.95,10,0,Pakistan
5/30/1998 6:54:55 AM,28.49,63.73,10,0,Pakistan
10/03/1952 00:00:00,-20,115,10,25,England
10/14/1953 10:30:00 PM,-28,135,10,10,England
10/26/1953 10:30:00 PM,-28,135,10,8,England
5/16/1956 12:00:00 AM,-20,115,10,15,England
6/19/1956 12:00:00 AM,-20,115,10,60,England
9/27/1956 12:00:00 AM,-30,132,10,15,England
10/04/1956 00:00:00,-30,132,10,1.5,England
10/11/1956 00:00:00,-30,132,10,3,England
10/22/1956 12:00:00 AM,-30,132,10,10,England
5/15/1957 7:37:00 PM,1.67,-157.25,10,0,England
5/31/1957 7:41:00 PM,1.67,-157.25,10,0,England
6/19/1957 7:40:00 PM,1.67,-157.25,10,0,England
9/14/1957 5:30:00 AM,-30,132,10,1,England
9/25/1957 12:30:00 AM,-30,132,10,6,England
10/09/1957 07:30:00,-30,132,10,25,England
11/08/1957 17:47:00,1.67,-157.25,10,1800,England
4/28/1958 7:05:00 PM,1.67,-157.25,10,3000,England
8/22/1958 6:00:00 PM,1.67,-157.25,10,24,England
09/02/1958 17:24:00,1.67,-157.25,10,1000,England
09/11/1958 17:48:00,1.67,-157.25,10,800,England
9/23/1958 5:58:00 PM,1.67,-157.25,10,25,England
9/25/1964 12:00:00 AM,37,-116,10,0,England
4/22/1983 1:53:00 PM,37.1115,-116.0224,10,20,England
05/01/1984 19:05:00,37.1062,-116.0224,10,150,England
12/09/1984 19:40:00,37.2701,-116.4976,10,150,England
12/05/1985 15:00:00,37.0533,-116.0454,10,150,England
6/25/1986 12:00:00 AM,37.2646,-116.4993,10,150,England
7/16/1987 7:00:00 PM,37.1036,-116.0234,10,150,England
12/08/1989 15:00:00,37.2311,-116.4094,10,150,England
11/14/1990 7:17:01 PM,37.2274,-116.3712,10,150,England
11/26/1991 6:35:00 PM,37.0965,-116.0696,10,20,England
9/22/1979 3:00:00 AM,-46.36,37.57,10,0,Unknown
08/05/1945 23:16:02,34.22,132.25,10,15,USA
08/09/1945 01:58:00,32.48,129.53,10,21,USA
7/24/1946 9:35:00 PM,11.5833,165.5,10,21,USA
11/19/1951 5:00:00 PM,37.1317,-116.0386,10,1.2,USA
11/01/1955 00:00:00,37,-116,10,0,USA
11/03/1955 00:00:00,37,-116,10,0,USA
11/05/1955 00:00:00,37,-116,10,0,USA
1/18/1956 12:00:00 AM,37,-116,10,20,USA
5/27/1956 12:00:00 AM,11,162,10,0.19,USA
6/13/1956 12:00:00 AM,11,162,10,1.49,USA
6/21/1956 12:00:00 AM,11,162,10,15.2,USA
07/02/1956 00:00:00,11,162,10,360,USA
4/24/1957 12:00:00 AM,37,-115,10,0,USA
07/01/1957 00:00:00,37,-116,10,0,USA
12/09/1957 00:00:00,37,-116,10,0.5,USA
2/22/1958 12:00:00 AM,37,-116,10,0.001,USA
3/14/1958 12:00:00 AM,37,-116,10,0.001,USA
7/14/1958 12:00:00 AM,11,162,10,0,USA
7/17/1958 12:00:00 AM,11,162,10,255,USA
08/06/1958 00:00:00,11,162,10,0,USA
8/18/1958 12:00:00 AM,11,162,10,0.02,USA
8/27/1958 12:00:00 AM,-38.5,-11.5,10,2,USA
8/30/1958 12:00:00 AM,-49.5,-8.2,10,2,USA
09/06/1958 00:00:00,-48.5,-9.7,10,2,USA
9/23/1958 12:00:00 AM,37,-116,10,20,USA
