time,latitude,longitude,depth,mag,country
10/24/1985 5:50:00 PM,-22,-139,0,5,France
10/26/1985 4:35:00 PM,-21.849,-138.815,0,150,France
11/24/1985 4:01:01 PM,-21.802,-138.781,0,20,France
11/26/1985 5:42:00 PM,-21.856,-138.899,0,150,France
4/26/1986 5:02:01 PM,-21.725,-138.941,0,20,France
05/06/1986 16:58:00,-22,-139,0,5,France
5/27/1986 5:15:00 PM,-22,-139,0,20,France
5/30/1986 5:25:00 PM,-21.862,-138.949,0,150,France
11/10/1986 16:58:00,-22,-139,0,5,France
11/12/1986 17:02:00,-21.843,-138.927,0,20,France
12/06/1986 17:10:00,-22,-139,0,5,France
12/10/1986 17:15:00,-21.833,-138.892,0,150,France
05/05/1987 16:58:01,-21.705,-138.581,0,20,France
5/20/1987 5:05:00 PM,-21.85,-138.913,0,150,France
06/06/1987 18:00:01,-21.769,-138.874,0,20,France
6/21/1987 5:55:00 PM,-21.865,-138.891,0,150,France
10/23/1987 4:50:00 PM,-21.845,-138.907,0,150,France
11/05/1987 17:30:00,-21.791,-138.874,0,20,France
11/19/1987 4:31:00 PM,-21.845,-138.941,0,150,France
11/29/1987 5:59:00 PM,-22,-139,0,20,France
05/11/1988 17:00:00,-21.833,-138.945,0,150,France
5/25/1988 5:01:00 PM,-21.845,-138.961,0,150,France
6/16/1988 5:15:00 PM,-21.75,-139,0,5,France
6/23/1988 5:31:00 PM,-21.846,-138.911,0,20,France
10/25/1988 5:00:00 PM,-22,-139,0,5,France
11/05/1988 16:30:00,-21.793,-138.987,0,150,France
11/23/1988 5:01:00 PM,-21.835,-138.954,0,150,France
11/30/1988 5:55:00 PM,-22.233,-138.74,0,150,France
05/11/1989 16:45:00,-21.812,-138.884,0,20,France
5/20/1989 5:59:00 PM,-22,-139,0,5,France
06/03/1989 17:30:00,-21.842,-138.922,0,150,France
06/10/1989 17:30:00,-22.217,-138.721,0,150,France
10/24/1989 4:30:00 PM,-21.852,-138.912,0,150,France
10/31/1989 4:57:00 PM,-21.793,-138.855,0,20,France
11/20/1989 5:29:00 PM,-21.793,-138.884,0,20,France
11/27/1989 5:00:00 PM,-22.251,-138.722,0,150,France
06/02/1990 17:29:58,-21.877,-138.918,0,20,France
06/07/1990 17:30:00,-22,-139,0,20,France
6/26/1990 5:59:58 PM,-22.215,-138.841,0,150,France
07/04/1990 17:59:59,-21.85,-139.042,0,20,France
11/14/1990 6:11:58 PM,-22.258,-138.805,0,150,France
11/21/1990 4:59:58 PM,-21.936,-138.967,0,150,France
05/07/1991 17:00:00,-22,-139,0,5,France
5/18/1991 5:14:59 PM,-21.832,-139.014,0,150,France
5/29/1991 6:59:58 PM,-22.256,-138.794,0,150,France
6/14/1991 5:59:58 PM,-21.944,-138.988,0,150,France
07/05/1991 18:00:00,-22,-139,0,5,France
7/15/1991 6:09:58 PM,-21.877,-138.963,0,150,France
09/05/1995 21:29:58,-21.85,-138.84,0,0,France
10/01/1995 23:29:58,-22.25,-138.74,0,0,France
10/27/1995 9:59:58 PM,-21.89,-138.98,0,0,France
11/21/1995 9:29:58 PM,-21.88,-139.03,0,0,France
12/27/1995 9:29:58 PM,-21.88,-138.97,0,0,France
1/27/1996 9:29:58 PM,-22.24,-138.82,0,0,France
5/18/1974 2:34:55 AM,27.095,71.752,0.11,12,India
05/11/1998 10:13:44,27.078,71.719,0,0,India
5/13/1998 12:00:00 AM,27.078,71.719,0,0.6,India
5/28/1998 10:16:18 AM,28.83,64.95,0,0,Pakistan
5/30/1998 6:54:55 AM,28.49,63.73,0,0,Pakistan
10/03/1952 00:00:00,-20,115,0,25,England
10/14/1953 10:30:00 PM,-28,135,0,10,England
10/26/1953 10:30:00 PM,-28,135,0,8,England
5/16/1956 12:00:00 AM,-20,115,0,15,England
6/19/1956 12:00:00 AM,-20,115,0,60,England
9/27/1956 12:00:00 AM,-30,132,0,15,England
10/04/1956 00:00:00,-30,132,0,1.5,England
10/11/1956 00:00:00,-30,132,0,3,England
10/22/1956 12:00:00 AM,-30,132,0,10,England
5/15/1957 7:37:00 PM,1.67,-157.25,0,0,England
5/31/1957 7:41:00 PM,1.67,-157.25,0,0,England
6/19/1957 7:40:00 PM,1.67,-157.25,0,0,England
9/14/1957 5:30:00 AM,-30,132,0,1,England
9/25/1957 12:30:00 AM,-30,132,0,6,England
10/09/1957 07:30:00,-30,132,0,25,England
11/08/1957 17:47:00,1.67,-157.25,0,1800,England
4/28/1958 7:05:00 PM,1.67,-157.25,0,3000,England
8/22/1958 6:00:00 PM,1.67,-157.25,0,24,England
09/02/1958 17:24:00,1.67,-157.25,0,1000,England
09/11/1958 17:48:00,1.67,-157.25,0,800,England
9/23/1958 5:58:00 PM,1.67,-157.25,0,25,England
03/01/1962 19:10:00,37.0413,-116.0287,0.36,9.5,England
12/07/1962 19:00:00,37.0518,-116.0293,0.3,20,England
7/17/1964 5:18:30 PM,37.0176,-116.0296,0.27,20,England
9/25/1964 12:00:00 AM,37,-116,0,0,England
09/10/1965 17:12:00,37.078,-116.0167,0.46,200,England
5/23/1974 1:38:30 PM,37.1245,-116.0789,0.47,200,England
8/26/1976 2:30:00 PM,37.125,-116.082,0.54,150,England
04/11/1978 17:45:00,37.2335,-116.3685,0.67,150,England
11/18/1978 7:00:00 PM,37.1269,-116.0839,0.54,150,England
8/29/1979 3:08:00 PM,37.1212,-116.0666,0.46,150,England
4/26/1980 5:00:00 PM,37.2484,-116.4224,0.63,150,England
10/24/1980 7:15:00 PM,37.0746,-115.9993,0.43,20,England
12/17/1980 3:10:00 PM,37.3248,-116.3117,0.57,150,England
11/12/1981 15:00:00,37.1082,-116.049,0.52,150,England
4/25/1982 6:05:00 PM,37.2558,-116.4224,0.57,150,England
4/22/1983 1:53:00 PM,37.1115,-116.0224,0,20,England
05/01/1984 19:05:00,37.1062,-116.0224,0,150,England
12/09/1984 19:40:00,37.2701,-116.4976,0,150,England
12/05/1985 15:00:00,37.0533,-116.0454,0,150,England
6/25/1986 12:00:00 AM,37.2646,-116.4993,0,150,England
7/16/1987 7:00:00 PM,37.1036,-116.0234,0,150,England
12/08/1989 15:00:00,37.2311,-116.4094,0,150,England
11/14/1990 7:17:01 PM,37.2274,-116.3712,0,150,England
11/26/1991 6:35:00 PM,37.0965,-116.0696,0,20,England
9/22/1979 3:00:00 AM,-46.36,37.57,0,0,Unknown
7/16/1945 11:29:21 AM,33.6753,-106.4747,-0.03,21,USA
08/05/1945 23:16:02,34.22,132.25,0,15,USA
08/09/1945 01:58:00,32.48,129.53,0,21,USA
6/30/1946 9:01:00 PM,11,165,-0.16,21,USA
7/24/1946 9:35:00 PM,11.5833,165.5,0,21,USA
4/14/1948 6:16:59 PM,11,162,-0.06,37,USA
4/30/1948 6:08:59 PM,11,162,-0.06,49,USA
5/14/1948 6:04:00 PM,11,162,-0.06,18,USA
1/27/1951 1:44:51 PM,36.8,-115.95,-0.32,1,USA
1/28/1951 1:52:04 PM,36.8,-115.95,-0.33,8,USA
02/01/1951 13:46:40,36.8,-115.95,-0.33,1,USA
02/02/1951 13:48:48,36.8,-115.95,-0.34,8,USA
02/06/1951 13:46:55,36.8,-115.95,-0.44,22,USA
04/07/1951 17:33:58,11.5558,162.3544,-0.09,81,USA
4/20/1951 5:27:00 PM,11.6689,162.2403,-0.09,47,USA
05/08/1951 20:30:01,11.6269,162.3147,-0.06,225,USA
5/24/1951 5:16:59 PM,11.673,162.2486,-0.06,45.5,USA
10/22/1951 2:00:00 PM,37.0839,-116.0239,-0.03,0.1,USA
10/28/1951 3:20:09 PM,37.085,-116.02,-0.34,3.5,USA
10/30/1951 3:00:30 PM,37.085,-116.0203,-0.35,14,USA
11/01/1951 15:30:02,37.0847,-116.0197,-0.43,21,USA
11/05/1951 16:29:58,37.0919,-116.0244,-0.4,31,USA
11/19/1951 5:00:00 PM,37.1317,-116.0386,0,1.2,USA
11/29/1951 8:00:00 PM,37.1697,-116.0425,0.01,1.2,USA
04/01/1952 17:00:08,36.7983,-115.9356,-0.24,1,USA
4/15/1952 5:29:57 PM,37.0842,-116.0194,-0.34,1,USA
4/22/1952 5:30:10 PM,37.0844,-116.0203,-1.05,31,USA
05/01/1952 16:29:59,37.0842,-116.0203,-0.32,19,USA
05/07/1952 12:14:59,37.0531,-116.1056,-0.09,12,USA
5/25/1952 12:00:00 PM,37.0956,-116.1056,-0.09,11,USA
06/01/1952 11:55:00,37.0481,-116.0211,-0.09,15,USA
06/05/1952 11:55:00,37.1386,-116.1178,-0.09,14,USA
10/31/1952 7:14:59 PM,11.2372,162.1964,-0.01,10400,USA
11/15/1952 11:30:00 PM,11.5622,162.3525,-0.45,500,USA
3/17/1953 1:20:00 PM,37.0478,-116.0211,-0.09,16,USA
3/24/1953 1:10:00 PM,37.0956,-116.1028,-0.09,24,USA
3/31/1953 1:00:00 PM,37.0828,-116.0239,-0.09,0.2,USA
04/06/1953 15:29:38,37.0847,-116.018,-1.83,11,USA
04/11/1953 12:45:00,37.0989,-116.0925,-0.03,0.2,USA
4/18/1953 12:35:00 PM,37.1383,-116.1178,-0.09,23,USA
4/25/1953 12:30:00 PM,37.0531,-116.1028,-0.09,43,USA
05/08/1953 15:29:55,36.5,-115.9289,-0.74,27,USA
5/19/1953 12:04:59 PM,37.0403,-116.0253,-0.09,32,USA
5/25/1953 3:30:00 PM,36.7931,-115.9147,-0.16,15,USA
06/04/1953 11:14:57,37.0875,-116.0183,-0.41,61,USA
2/28/1954 6:45:00 PM,11.6908,165.2736,NA,15000,USA
3/26/1954 6:30:00 PM,11.6908,165.273,NA,11000,USA
04/06/1954 18:20:00,11.4967,165.3675,NA,110,USA
4/25/1954 6:10:01 PM,11.6664,165.3872,NA,6900,USA
05/04/1954 18:10:00,11.6656,165.3869,NA,13500,USA
5/13/1954 6:20:00 PM,11.6705,162.1964,NA,1690,USA
2/18/1955 7:59:59 PM,37.0867,-116.0219,-0.23,1,USA
2/22/1955 1:45:00 PM,37.0478,-116.0211,-0.09,2,USA
03/01/1955 13:30:00,37.1255,-116.0475,-0.09,7,USA
03/07/1955 13:20:00,37.1383,-116.1175,-0.15,43,USA
03/12/1955 13:20:00,37.0403,-116.0253,-0.09,4,USA
3/22/1955 1:05:00 PM,37.0947,-116.0239,-0.15,8,USA
3/23/1955 8:30:00 PM,37.1683,-116.0439,0.02,1,USA
3/29/1955 12:55:00 PM,37.0956,-116.1028,-0.15,14,USA
3/29/1955 5:59:55 PM,37.0867,-116.0578,-0.23,3,USA
04/06/1955 18:00:04,37.0286,-116.0578,-11.16,3,USA
04/09/1955 12:30:00,37.1222,-116.0344,-0.09,2,USA
4/15/1955 7:15:00 PM,36.7981,-115.9289,-0.12,22,USA
05/05/1955 12:10:00,36.0531,-116.1025,-0.15,29,USA
5/14/1955 8:00:00 PM,28.7333,-126.2667,0.61,30,USA
5/15/1955 12:00:00 PM,37.0947,-116.0239,-0.15,28,USA
11/01/1955 00:00:00,37,-116,0,0,USA
11/03/1955 00:00:00,37,-116,0,0,USA
11/05/1955 00:00:00,37,-116,0,0,USA
1/18/1956 12:00:00 AM,37,-116,0,20,USA
05/04/1956 18:25:30,11.5578,162.355,NA,40,USA
5/20/1956 5:50:39 PM,11.6683,165.3942,-1.32,3800,USA
5/27/1956 12:00:00 AM,11,162,0,0.19,USA
5/27/1956 5:56:00 PM,11.4967,165.3692,NA,3500,USA
5/30/1956 6:15:29 PM,11.5444,162.3644,-0.09,14.9,USA
06/06/1956 00:55:30,11.6764,162.2222,NA,13.7,USA
06/11/1956 18:26:00,11.6,165.4514,NA,365,USA
06/11/1956 18:26:00,11.5511,162.3586,-0.06,8,USA
6/13/1956 12:00:00 AM,11,162,0,1.49,USA
